Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox
presentation,,subjid,text,Participant Identification Number (PIN),,,,,,,,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1
presentation,INCLUSION CRITERIA,inclu_disease,user_list,Suspected or confirmed infection,,,,,inclusion_Diseases,,,This refers to any suspected or confirmed infection(s).,"If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation.",,,,,,1,1
presentation,INCLUSION CRITERIA,inclu_reason,radio,Is the suspected or confirmed infection the reason for hospital admission?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to whether suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.,,,,,,1,
presentation,INCLUSION CRITERIA,inclu_case,radio,Status of case,"1, Confirmed | 2, Probable | 3, Suspected | 4, Discarded | 5, Error",,,,,,,"Confirmed refers to a case that is laboratory confirmed and may fulfil the clinical criteria as described in the case definition. Probable refers to a clinically compatible illness that is epidemiologically linked to a confirmed case without laboratory confirmation of infection with pathogen of interest. Suspected refers to a clinically compatible illness without epidemiological link or laboratory confirmation. Discarded refers to a patient with a negative laboratory test and has failed to fulfil the criteria for a suspect, probable or confirmed case. ",Select the most appropriate option that represents the status of the case. ,,,,,,,1
presentation,INCLUSION CRITERIA,inclu_testreason,radio,Reason why the patient was tested," 1, Symptomatic | 2, Asymptomatic, contact-traced | 3, Asymptomatic, mass testing campaign | 4, Not tested | 99, Unknown | 88, Other",,,,,,,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,,,,,,1
presentation,INCLUSION CRITERIA,inclu_testreason_otth,text,Specify other reason,,,,,,[inclu_testreason]='88',,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,,,,,,1
presentation,ONSET & PRESENTATION,pres_firstsym,multi_list,Symptom(s) during first 24 hours of illness (select all that apply),,,,,conditions_Symptoms,,,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).,,,,,,1,1
presentation,ONSET & PRESENTATION,pres_consultdate,date_dmy,Date of first clinical consultation,,date_dmy,,today,,,,This refers to the date of first clinical consultation related to the current episode of illness.,Provide the date of first clinical consultation related to the current episode of illness in DD/MM/YYYY format.,,,,,,1,
presentation,ONSET & PRESENTATION,pres_date,date_dmy,Most recent presentation/admission date at this facility,,date_dmy,,today,,,,This refers to the date of hospitalisation / admission of the patient to your site for the current illness.,Enter the date of hospitalisation / admission to your site (in DD/MM/YYYY format).,SNOMED,"32485007, Hospital admission (procedure)",,,,1,1
presentation,ONSET & PRESENTATION,pres_adm,radio,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to admission of the patient to your site for the current illness.,"Indicate 'Yes', if that patient was admitted to your site.",SNOMED,"32485007, Presentation to hospital (event)",,,,1,1
