Drugs                                               , Code    , Library , Selected
"Beclomethasone (Beclometasone, Beconase)",R03BA01,ATC,
"Betamethasone (Celestone, Betnelan)                 ",H02AB01,ATC, 
Budesonide (Pulmicort),R03BA02,ATC,
Cortisone (Cortone)                                 ,H02AB10 ,ATC,
"Dexamethasone (Decadron, Dexasone, Diodex)          ",H02AB02,ATC,1
"Fludrocortisone (Astonin, Florinef)",H02AA02 ,ATC,
"Fluticasone (Flovent, Flonase)                      ",R03BA05,ATC,
"Hydrocortisone (Cortef, Solu-Cortef)                ",H02AB09,ATC,1
"Methylprednisolone (Medrol, Solu-Medrol)            ",H02AB04 ,ATC,1
"Mometasone (Asmanex, Elocon, Nasonex)               ",R03BA07,ATC,
"Prednisolone (Prelone, Orapred)                     ",H02AB06 ,ATC,1
Prednisone (Deltasone)                       ,H02AB07 ,ATC,1
"Triamcinolone (Kenalog, Aristocort)                 ",H02AB08 ,ATC, 
