Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,Número de identificação do participante (PIN),,O Número de Identificação do Participante ou PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o Número de Identificação do Participante (PIN).,,
inclu_disease,Infecção suspeita ou confirmada,,Isso se refere a qualquer infecção suspeita ou confirmada.,"Se houver suspeita de mais de uma infecção, selecione a mais provável e preencha a seção TESTE DE PATÓGENO com confirmação laboratorial.",,
inclu_reason,A infecção suspeita ou confirmada é o motivo da internação hospitalar?,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere à suspeita ou confirmação de infecção pelo patógeno de interesse como o motivo (indicação) da internação hospitalar.,Indique 'Sim' se a infecção suspeita ou confirmada com o patógeno de interesse for o motivo (indicação) para a admissão hospitalar. Indique 'Não' se a infecção suspeita ou confirmada com o patógeno de interesse não for o motivo (indicação) para a admissão hospitalar.,,
inclu_case,Situação do caso,"1, Confirmado | 2, Provável | 3, Suspeito | 4, Descartado | 5, Erro","Confirmado refere-se a um caso que é confirmado laboratorialmente e pode preencher os critérios clínicos conforme descrito na definição de caso. Provável refere-se a uma doença clinicamente compatível que está epidemiologicamente ligada a um caso confirmado sem confirmação laboratorial de infecção com patógeno de interesse. Suspeito refere-se a uma doença clinicamente compatível sem vínculo epidemiológico ou confirmação laboratorial. Descartado refere-se a um paciente com um teste laboratorial negativo e não preencheu os critérios para um caso suspeito, provável ou confirmado.",Selecione a opção mais apropriada que represente o status do caso.,,
inclu_testreason,Motivo pelo qual o paciente foi testado,"1, Sintomático | 2, Assintomático, rastreado por contato | 3, Assintomático, campanha de testes em massa | 4, Não testado",Isso se refere ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais apropriada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,,
inclu_consent,O participante (ou seu representante) deu consentimento para participar deste estudo.,"1, Sim | 0, Não, o participante não concordou em participar do estudo | 2, Não, o comitê de ética aprovou uma renúncia de consentimento | 99, Desconhecido",Isso se refere ao fornecimento de consentimento informado pelo paciente ou seu representante para participação neste estudo.,"Indique ""Sim"" se o paciente ou seu representante forneceu seu consentimento informado para participação neste estudo.",,
inclu_consent_date,Data de consentimento,,Isso se refere à data em que o consentimento informado foi dado para inclusão dos participantes neste estudo.,Escreva a data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo. Use o formato DD/MM/AAAA.,,
inclu_consent_who,Consentimento fornecido por,"1, Participante | 2, Pai/responsável | 3, Consultado | 4, Clínico independente",Isso se refere a quem forneceu o consentimento para participação neste estudo.,Selecione a opção mais apropriada que representa quem forneceu o consentimento para participação neste estudo.,,
inclu_consent_whopg,Se os pais/responsáveis ​​derem consentimento: a criança ou o jovem dá seu consentimento?,"1, Sim | 0, Não | 2, Não competente","Isto se refere ao consentimento dado por um menor ou adulto que não é capaz de dar consentimento em seu próprio nome, para participar de um estudo. O consentimento deve ser acompanhado pelo consentimento de um dos pais ou responsável legal para participação total no estudo.",Selecione a opção mais apropriada que representa se o consentimento foi fornecido para participação neste estudo.,,
inclu_consentsec,"Uso secundário dos dados coletados, o participante concordou com as seguintes afirmações:",,,,,
inclu_consentsec_rsch,"Uso futuro de dados pseudonimizados em pesquisas eticamente aprovadas, incluindo pesquisas em outros países","1, Sim | 0, Não",Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados em pesquisas eticamente aprovadas,Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentsec_prod,"Uso futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais",Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentsec_gen,"Uso futuro de dados genéticos pseudonimizados em pesquisas eticamente aprovadas, incluindo pesquisas em outros países","1, Sim | 0, Não",Refere-se ao consentimento para uso secundário futuro de dados genéticos pseudonimizados em pesquisas eticamente aprovadas,Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentsecsamp,"Quanto ao uso secundário das amostras coletadas, o participante concordou com as seguintes afirmações:",,,,,
inclu_consentsecsamp_rsch,"Uso futuro de amostras pseudonimizadas em pesquisas eticamente aprovadas, incluindo pesquisas em outros países","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de amostras pseudonimizadas em pesquisas eticamente aprovadas, incluindo pesquisas em outros países",Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentsecsamp_prod,"Uso futuro de amostras ou materiais pseudonimizados ou dados derivados dessas amostras para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de amostras ou materiais pseudonimizados ou dados derivados dessas amostras para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais.",Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentsecsamp_gen,"Uso futuro de amostras genéticas pseudonimizadas em pesquisas eticamente aprovadas, incluindo pesquisas em outros países","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de amostras genéticas pseudonimizadas em pesquisas eticamente aprovadas, incluindo pesquisas em outros países",Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
inclu_consentcont,Contato,,,,,
inclu_consentcont_nstudy,"Ser contatado para participar de trabalhos futuros, incluindo estudos de pesquisa","1, Sim | 0, Não","Refere-se ao contato a ser contatado para participar de trabalhos futuros, incluindo estudos de pesquisa",Esta é uma pergunta de consentimento opcional e não é necessária para o preenchimento do CRF restante.,,
dates_onsetdate,Data de início do primeiro / mais precoce sintoma,,Isso se refere à data de início do primeiro/mais antigo sintoma clinicamente relacionado ao episódio atual da doença.,Forneça a data do primeiro sintoma que você acredita clinicamente estar relacionado a este episódio de doença no formato DD/MM/AAAA.,,
dates_firstsym,Sintoma(s) durante as primeiras 24 horas de doença (selecione todos os que se aplicam),,"Isso se refere ao primeiro sintoma, ou sintomas (se vários ocorreram ao mesmo tempo), que você acredita clinicamente estar relacionado a esse episódio de doença.",Selecione todos os sintomas que o paciente apresentou durante as primeiras 24 horas da doença (selecione todos os que se aplicam).,,
dates_consult,Data da primeira consulta clínica,,Refere-se à data da primeira consulta clínica relacionada ao episódio atual da doença.,Forneça a data da primeira consulta clínica relacionada ao episódio atual da doença no formato DD/MM/AAAA.,,
dates_adm,Admitido no hospital,"1, Sim | 0, Não | 99, Desconhecido",Isso se refere à admissão do paciente em seu local devido à doença atual.,"Indique ""Sim"" se o paciente foi admitido em seu site.",,
dates_adm_reas,Motivo da hospitalização,,Isso se refere ao motivo (indicação) da hospitalização.,"Se 'Sim', especifique o motivo (indicação) da hospitalização.",,
dates_admdate,Data de admissão hospitalar,,Isso se refere à data de hospitalização/admissão do paciente em seu local devido à doença atual.,Insira a data de hospitalização/admissão no seu site (no formato DD/MM/AAAA).,,
dates_admtime,Hora da admissão hospitalar,,Isso se refere à admissão do paciente em seu local devido à doença atual.,Insira o horário de admissão no seu site no formato de 24 horas (00:00 - 24:00 horas).,,
dates_enrolment,Data de inscrição / início da coleta de dados,,Isso se refere à data de inscrição/início da coleta de dados.,Insira a data de inscrição do estudo do paciente no formato dia/mês/ano (DD/MM/AAAA).,,
